Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering
Mulher_Noticia,Mulher_Noticia,,0,8,8,0,82,82,2,0.681818,0.766667,0,10,0,14,0.017857
contagemcorona1,contagemcorona1,,583,6,589,1929,12,1941,1,1,1,0.000139,10,0,13,0.002265
Bot_Corona_V,Bot_Corona_V,,1,205,206,2,1529,1531,3,0.730415,0.820715,0.000029,0,0,315,0.002702
BrazilSFE,BrazilSFE,,4,4,8,222,408,630,1,1,1,0,0,0,205,0.285714
merial,merial,,5,0,5,345,0,345,0,0,0,0,0,0,201,0.3
kineta,kineta,,3,0,3,255,0,255,0,0,0,0,0,0,204,0.333333
faconti,faconti,,3,2,5,3,7,10,1,1,1,0,88,0,317,0
brasil_io,brasil_io,,10,1,11,58,10,68,0,0,0,0,88,0,316,0.111111
FreitasLuizete,FreitasLuizete,,0,1,1,0,3,3,2,0.545455,0.583333,0,10,0,318,0
viralvideovlogs,viralvideovlogs,,0,133,133,0,264,264,2,0.72093,0.806452,0,10,0,418,0.003418
agenciabrasil,agenciabrasil,,28,5,33,33,14,47,2,0.647059,0.727273,0.000011,4,0,325,0.029234
fiocruz,fiocruz,,161,2,163,201,4,205,1,1,1,0.000004,76,0,67,0.011918
OrighInter,OrighInter,,0,6,6,0,10,10,3,0.538462,0.666667,0,4,0,419,0.1
CandiaCrf,CandiaCrf,,0,5,5,0,40,40,2,0.666667,0.75,0,10,0,420,0.05
GenariSandra,GenariSandra,,0,2,2,0,2,2,2,0.583333,0.642857,0,19,0,421,0
Andersonp1980,Andersonp1980,,0,3,3,0,33,33,2,0.636364,0.714286,0,10,0,422,0.166667
RAQUELD20669859,RAQUELD20669859,,0,1,1,0,4,4,1,1,1,0,0,0,423,0
macaeprefeitura,macaeprefeitura,,4,0,4,11,0,11,0,0,0,0,0,0,302,0
LuciaRSGomes,LuciaRSGomes,,0,3,3,0,5,5,2,0.636364,0.714286,0,10,0,424,0.166667
cansadabh,cansadabh,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,425,0
govbr,govbr,,25,0,25,30,0,30,0,0,0,0,4,0,52,0
achagas407,achagas407,,0,3,3,0,3,3,2,0.636364,0.714286,0,10,0,427,0.166667
AlencarBraga13,AlencarBraga13,,6,0,6,6,0,6,0,0,0,0,55,0,426,0
CaioCarlo,CaioCarlo,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,428,0
secsaudedf,secsaudedf,,10,1,11,17,1,18,1,1,1,0,0,0,314,0.009091
TerraComum,TerraComum,,0,1,1,0,2,2,2,0.545455,0.583333,0,10,0,429,0
tiago_ruu,tiago_ruu,,0,1,1,0,1,1,1,1,1,0,41,0,431,0
tvcultura,tvcultura,,24,0,24,35,0,35,0,0,0,0,41,0,430,0
Paulada22,Paulada22,,0,1,1,0,1,1,1,1,1,0,4,0,432,0
Veniltonleal2,Veniltonleal2,,0,1,1,0,7,7,1,1,1,0,0,0,433,0
governodoamapa,governodoamapa,,3,0,3,16,0,16,0,0,0,0,0,0,295,0
FranBorges78,FranBorges78,,0,7,7,0,9,9,1,1,1,0,1,1,441,0
saudegovpi,saudegovpi,,2,0,2,7,0,7,0,0,0,0,1,1,440,0
rocha_olenka,rocha_olenka,,0,1,1,0,1,1,1,1,1,0,2,2,443,0
SIBI_UFRJ,SIBI_UFRJ,,1,0,1,1,0,1,0,0,0,0,2,2,442,0
jornalistavitor,jornalistavitor,,3,9,12,3,12,15,2,0.909091,0.95,0.000001,19,0,373,0.05303
de_usp,de_usp,,1,0,1,3,0,3,0,0,0,0,19,0,372,0
camposamd,camposamd,,0,2,2,0,11,11,1,1,1,0,41,0,445,0
Wyeth,Wyeth,,5,0,5,171,0,171,0,0,0,0,0,0,203,0.3
Zoetis,Zoetis,,5,0,5,171,0,171,0,0,0,0,0,0,202,0.3
portalhospbra,portalhospbra,,3,0,3,11,0,11,0,0,0,0,0,0,313,0
FeSa972,FeSa972,,0,2,2,0,76,76,2,0.583333,0.642857,0,10,0,446,0
jcelio0123,jcelio0123,,0,1,1,0,2,2,1,1,1,0,88,0,447,0
dra_gioconda,dra_gioconda,,0,1,1,0,1,1,1,1,1,0,4,0,448,0
mqueiroga2,mqueiroga2,,218,0,218,246,0,246,0,0,0,0,4,0,63,0.000169
turicas,turicas,,0,1,1,0,16,16,1,1,1,0,88,0,449,0
FHernandezSilva,FHernandezSilva,,0,1,1,0,1,1,1,1,1,0,4,0,450,0
Erbl1958,Erbl1958,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,451,0
Margot13reserva,Margot13reserva,,0,3,3,0,4,4,2,0.615385,0.6875,0,10,0,453,0.166667
bellaciaubella,bellaciaubella,,0,8,8,0,8,8,3,0.518182,0.55848,0,27,0,455,0.196429
CacoBrasil2,CacoBrasil2,,2,5,7,2,5,7,1,1,1,0,88,0,454,0.233333
beattrice_,beattrice_,,7,3,10,12,11,23,2,0.636364,0.714286,0.000002,27,0,71,0.188889
projmandacaru,projmandacaru,,10,0,10,16,0,16,0,0,0,0,213,0,70,0.011111
MaluhMartins1,MaluhMartins1,,0,1,1,0,1,1,1,1,1,0,41,0,456,0
LeNautilus,LeNautilus,,2,2,4,2,3,5,1,1,1,0,3,3,458,0.333333
FoxNews,FoxNews,,1,0,1,2,0,2,0,0,0,0,3,3,457,0
SuzeteMendes12,SuzeteMendes12,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,459,0
Emanotel,Emanotel,,1,1,2,1,3,4,2,0.545455,0.583333,0,10,0,312,0.5
DefesaBolsonaro,DefesaBolsonaro,,0,5,5,0,10,10,3,0.590909,0.679487,0,4,0,460,0.25
minsaude,minsaude,,118,0,118,203,0,203,0,0,0,0,4,0,59,0.004491
taniaeginaramos,taniaeginaramos,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,461,0
pr_bolsonaro,pr_bolsonaro,,0,2,2,0,2,2,1,1,1,0,4,0,462,0
aurorapolarexp,aurorapolarexp,,0,2,2,0,9,9,1,1,1,0,125,0,464,0
jdoriajr,jdoriajr,,179,0,179,185,0,185,0,0,0,0,125,0,39,0.005461
pedro_orlandini,pedro_orlandini,,0,2,2,0,5,5,2,0.583333,0.642857,0,10,0,465,0
johnlouismanow,johnlouismanow,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,466,0
dtferreira,dtferreira,,0,1,1,0,1,1,1,1,1,0,8,0,467,0
Educacao_PT,Educacao_PT,,8,0,8,8,0,8,0,0,0,0,8,0,412,0.017857
Armando62481447,Armando62481447,,0,1,1,0,1,1,1,1,1,0,8,0,468,0
Justkawme,Justkawme,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,469,0
OPASOMSBrasil,OPASOMSBrasil,,73,3,76,141,5,146,1,1,1,0.000011,5,0,134,0.002281
sra_perola,sra_perola,,0,1,1,0,1,1,1,1,1,0,6,4,471,0
g1campinas,g1campinas,,1,0,1,1,0,1,0,0,0,0,6,4,470,0
norcorr,norcorr,,0,1,1,0,1,1,1,1,1,0,8,0,472,0
marreiros_pedro,marreiros_pedro,,0,1,1,0,1,1,1,1,1,0,8,0,473,0
Vasconc60852362,Vasconc60852362,,0,1,1,0,1,1,1,1,1,0,62,0,475,0
jornal_cultura,jornal_cultura,,20,0,20,25,0,25,0,0,0,0,62,0,474,0
Garcia4251,Garcia4251,,0,2,2,0,2,2,1,1,1,0,45,0,476,0.5
hrw_brasil,hrw_brasil,,5,1,6,5,1,6,1,1,1,0,45,0,452,0.166667
jairbolsonaro,jairbolsonaro,,29,0,29,37,0,37,0,0,0,0,45,0,24,0.014778
NinaHoneyNH,NinaHoneyNH,,0,2,2,0,2,2,1,1,1,0,7,5,479,0
mpdft,mpdft,,1,0,1,1,0,1,0,0,0,0,7,5,478,0
cnpg_oficial,cnpg_oficial,,1,0,1,1,0,1,0,0,0,0,7,5,477,0
govpt,govpt,,22,2,24,25,4,29,1,1,1,0.000002,8,0,413,0.016304
FutureNotPast,FutureNotPast,,0,1,1,0,1,1,1,1,1,0,9,6,481,0
PhilipOLeary11,PhilipOLeary11,,1,0,1,1,0,1,0,0,0,0,9,6,480,0
SafetyUel,SafetyUel,,2,0,2,5,0,5,0,0,0,0,0,0,311,0
DiarioDoRio,DiarioDoRio,,10,5,15,22,6,28,1,1,1,0.000002,0,0,310,0.038095
Prefeitura_Rio,Prefeitura_Rio,,3,0,3,5,0,5,0,0,0,0,0,0,309,0.166667
ecnsoft,ecnsoft,,0,1,1,0,1,1,1,1,1,0,10,0,482,0
roxmo,roxmo,,4,0,4,4,0,4,0,0,0,0,10,0,334,0.083333
vaneasimivrsa,vaneasimivrsa,,0,1,1,0,4,4,1,1,1,0,62,0,483,0
valeria_ypunto,valeria_ypunto,,0,1,1,0,1,1,1,1,1,0,11,7,485,0
sanchezcastejon,sanchezcastejon,,1,0,1,1,0,1,0,0,0,0,11,7,484,0
welldias,welldias,,0,2,2,0,2,2,1,1,1,0,4,0,486,0
FalaBarreiras,FalaBarreiras,,1,0,1,2,0,2,0,0,0,0,0,0,308,0
mondai_puppet,mondai_puppet,,0,1,1,0,8,8,2,0.545455,0.583333,0,10,0,487,0
EstanilauBretas,EstanilauBretas,,0,6,6,0,22,22,4,0.541667,0.685897,0,4,0,488,0.2
istoe_dinheiro,istoe_dinheiro,,5,0,5,11,0,11,0,0,0,0,4,0,48,0
botdocovid,botdocovid,,3,0,3,35,0,35,0,0,0,0,0,0,307,0
Rioparina,Rioparina,,1,1,2,1,2,3,2,0.545455,0.583333,0,10,0,489,0
DeLitaiff,DeLitaiff,,0,3,3,0,3,3,1,1,1,0,25,0,491,0
Luis_Rodrigues_,Luis_Rodrigues_,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,492,0
Vovoconsuelo,Vovoconsuelo,,0,1,1,0,1,1,1,1,1,0,4,0,493,0
ricardoalvvesbh,ricardoalvvesbh,,0,3,3,0,3,3,1,1,1,0,12,8,497,0
historia_pensar,historia_pensar,,1,0,1,1,0,1,0,0,0,0,12,8,496,0
MarcianoBrito13,MarcianoBrito13,,4,10,14,14,107,121,3,0.525253,0.580128,0.000001,10,0,99,0.272727
leandro2404,leandro2404,,0,5,5,0,13,13,1,1,1,0,4,0,499,0.05
Eduardo95394084,Eduardo95394084,,0,1,1,0,1,1,1,1,1,0,4,0,500,0
IsraelBrazil2,IsraelBrazil2,,2,0,2,5,0,5,0,0,0,0,0,0,306,0
BlogdoJuares,BlogdoJuares,,1,0,1,7,0,7,0,0,0,0,0,0,305,0
panchocombr,panchocombr,,4,0,4,7,0,7,0,0,0,0,0,0,304,0
veridianavazde,veridianavazde,,0,6,6,0,8,8,2,0.8,0.875,0,62,0,503,0.066667
AfpChecamos,AfpChecamos,,99,2,101,152,3,155,1,1,1,0.000013,62,0,62,0.000594
AndrezaMaior,AndrezaMaior,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,504,0
opressor_es,opressor_es,,0,5,5,0,9,9,3,0.52,0.641026,0,4,0,505,0.15
DanielGaloMinas,DanielGaloMinas,,0,2,2,0,2,2,3,0.529412,0.592593,0,76,0,506,0
Al54804971,Al54804971,,0,1,1,0,1,1,1,1,1,0,4,0,507,0
Dinda_Cacta,Dinda_Cacta,,0,1,1,0,2,2,2,0.545455,0.583333,0,10,0,508,0
helena_lawyer,helena_lawyer,,0,1,1,0,1,1,1,1,1,0,4,0,509,0
Leonard78336335,Leonard78336335,,0,1,1,0,1,1,1,1,1,0,4,0,510,0
PloegSusana,PloegSusana,,0,2,2,0,2,2,1,1,1,0,5,0,513,0
MSF_brasil,MSF_brasil,,11,0,11,13,0,13,0,0,0,0,5,0,512,0
transitorj,transitorj,,0,4,4,0,7,7,1,1,1,0,4,0,514,0.083333
adrianabpadilha,adrianabpadilha,,0,1,1,0,1,1,2,0.6,0.666667,0,62,0,515,0
LaRouge50698815,LaRouge50698815,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,516,0
heraclito_c,heraclito_c,,0,2,2,0,11,11,2,0.583333,0.642857,0,10,0,517,0
Belle01035025,Belle01035025,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,518,0
corona_tweet,corona_tweet,,0,31,31,0,33,33,2,0.816327,0.8875,0,0,0,519,0.009677
TVKZ4,TVKZ4,,2,0,2,9,0,9,0,0,0,0,0,0,303,0
33RobertoMT,33RobertoMT,,0,1,1,0,1,1,1,1,1,0,4,0,520,0
FrankAllanRJ,FrankAllanRJ,,2,0,2,2,0,2,0,0,0,0,10,0,417,0
LuizSchettini,LuizSchettini,,0,1,1,0,1,1,1,1,1,0,10,0,521,0
DagobertoP04,DagobertoP04,,0,2,2,0,6,6,2,0.6,0.666667,0,10,0,522,0.5
apampesp_p,apampesp_p,,0,1,1,0,1,1,1,1,1,0,13,9,524,0
Feteerj_oficial,Feteerj_oficial,,1,0,1,1,0,1,0,0,0,0,13,9,523,0
DanAlcaras,DanAlcaras,,6,0,6,51,0,51,0,0,0,0,0,0,301,0
arianelicas,arianelicas,,0,1,1,0,7,7,1,1,1,0,0,0,525,0
FaroldaB,FaroldaB,,3,0,3,25,0,25,0,0,0,0,0,0,300,0
MEDPUCRio,MEDPUCRio,,1,0,1,4,0,4,0,0,0,0,0,0,299,0
cruzeirozip,cruzeirozip,,0,3,3,0,3,3,1,1,1,0,14,10,529,0
csjt_oficial,csjt_oficial,,1,0,1,1,0,1,0,0,0,0,14,10,528,0
CorreaLelio,CorreaLelio,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,530,0
ElisetePena,ElisetePena,,0,6,6,0,9,9,2,0.65,0.730769,0,62,0,531,0
UchoInfo,UchoInfo,,5,0,5,6,0,6,0,0,0,0,62,0,187,0.1
jornaljogoserio,jornaljogoserio,,1,0,1,4,0,4,0,0,0,0,0,0,298,0
jacas34,jacas34,,0,1,1,0,1,1,1,1,1,0,25,0,532,0
AiltonBenedito,AiltonBenedito,,596,0,596,635,0,635,0,0,0,0,25,0,364,0.000006
MiraniMota,MiraniMota,,0,1,1,0,1,1,1,1,1,0,25,0,533,0
Soniacapel17,Soniacapel17,,0,1,1,0,1,1,1,1,1,0,4,0,534,0
LiliPalmer19,LiliPalmer19,,0,1,1,0,1,1,1,1,1,0,15,11,536,0
carlaopignatari,carlaopignatari,,1,0,1,1,0,1,0,0,0,0,15,11,535,0
SibneleCalanara,SibneleCalanara,,0,1,1,0,1,1,1,1,1,0,16,12,538,0
nonoinvestidor,nonoinvestidor,,1,0,1,1,0,1,0,0,0,0,16,12,537,0
ProconMaranhao,ProconMaranhao,,2,0,2,6,0,6,0,0,0,0,42,0,416,0
mluciares,mluciares,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,539,0
bbetinho13,bbetinho13,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,540,0
eu_fa_tima,eu_fa_tima,,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,541,0.5
xico_alexandre,xico_alexandre,,6,3,9,7,6,13,1,1,1,0,0,0,285,0.261905
cirogomes,cirogomes,,6,0,6,9,0,9,0,0,0,0,0,0,235,0.166667
sonia_divinaa,sonia_divinaa,,0,6,6,0,19,19,3,0.5,0.537736,0,10,0,542,0.333333
WagnerTerzi,WagnerTerzi,,0,3,3,0,3,3,1,1,1,0,125,0,544,0.166667
C_trova,C_trova,,1,0,1,1,0,1,0,0,0,0,125,0,543,0
nelsonmffrosa,nelsonmffrosa,,0,2,2,0,5,5,2,0.75,0.833333,0,8,0,545,0.5
StanleyBresh,StanleyBresh,,0,2,2,0,11,11,2,0.583333,0.642857,0,10,0,546,0
riomaframix,riomaframix,,1,0,1,7,0,7,0,0,0,0,0,0,297,0
Lou_novak,Lou_novak,,0,2,2,0,5,5,1,1,1,0,4,0,547,0
Vanderl31693131,Vanderl31693131,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,548,0
AndreiaPorto_EU,AndreiaPorto_EU,,0,1,1,0,1,1,2,0.6,0.666667,0,8,0,549,0
gssaraujo,gssaraujo,,0,1,1,0,3,3,2,0.545455,0.583333,0,10,0,550,0
RevistaISTOE,RevistaISTOE,,1,1,2,2,2,4,1,1,1,0,45,0,49,0
cchacalmaster,cchacalmaster,,1,0,1,3,0,3,0,0,0,0,0,0,296,0
001Carlao,001Carlao,,0,1,1,0,1,1,1,1,1,0,4,0,551,0
MariaPAlves_23,MariaPAlves_23,,0,1,1,0,2,2,2,0.545455,0.583333,0,10,0,552,0
sfvanderley,sfvanderley,,1,5,6,1,6,7,1,1,1,0,45,0,26,0.233333
VANDERL34697709,VANDERL34697709,,2,3,5,3,3,6,1,1,1,0,45,0,25,0.3
Vanialulima,Vanialulima,,0,1,1,0,1,1,1,1,1,0,4,0,553,0
bibxisto2021,bibxisto2021,,0,2,2,0,2,2,3,0.444444,0.513889,0,76,0,554,0.5
AlhConsultoria,AlhConsultoria,,1,0,1,1,0,1,0,0,0,0,0,0,294,0
covid19br_,covid19br_,,3,0,3,74,0,74,0,0,0,0,0,0,293,0
MissMoura,MissMoura,,0,1,1,0,1,1,1,1,1,0,4,0,555,0
RaulSilvestre,RaulSilvestre,,0,1,1,0,2,2,2,0.545455,0.583333,0,10,0,556,0
GilmarNery2,GilmarNery2,,0,1,1,0,1,1,1,1,1,0,4,0,557,0
laraia_gama,laraia_gama,,0,1,1,0,1,1,1,1,1,0,17,13,559,0
fatecriopreto,fatecriopreto,,1,0,1,1,0,1,0,0,0,0,17,13,558,0
BandRio,BandRio,,2,0,2,2,0,2,0,0,0,0,10,0,415,0
RodrigoMarch17,RodrigoMarch17,,0,1,1,0,1,1,1,1,1,0,4,0,560,0
LuizdePaula100,LuizdePaula100,,0,3,3,0,59,59,2,0.666667,0.75,0,10,0,561,0.333333
MendesOnca,MendesOnca,,0,1,1,0,5,5,2,0.545455,0.583333,0,10,0,562,0
diegoricardox,diegoricardox,,1,3,4,1,3,4,1,1,1,0,76,0,563,0.166667
agencia_fiocruz,agencia_fiocruz,,126,1,127,139,5,144,1,1,1,0,76,0,67,0.008
leonor_cordeiro,leonor_cordeiro,,1,3,4,2,4,6,2,0.615385,0.6875,0,76,0,84,0.333333
aaananda,aaananda,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,564,0
pontodevista_,pontodevista_,,0,1,1,0,1,1,1,1,1,0,18,0,565,0
Folha1_,Folha1_,,4,0,4,4,0,4,0,0,0,0,18,0,292,0
joelsonjosue,joelsonjosue,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,566,0
Terezin70546856,Terezin70546856,,0,1,1,0,1,1,1,1,1,0,55,0,567,0
conversa_i,conversa_i,,0,2,2,0,2,2,3,0.482759,0.535714,0,76,0,569,0.5
angelicapinto16,angelicapinto16,,0,1,1,0,1,1,1,1,1,0,41,0,570,0
icarobarbosa5,icarobarbosa5,,0,1,1,0,1,1,1,1,1,0,18,0,571,0
franciscoA2M,franciscoA2M,,0,1,1,0,1,1,1,1,1,0,19,0,573,0
DNDi_Portugues,DNDi_Portugues,,2,0,2,2,0,2,0,0,0,0,19,0,572,0
direitaunidabr1,direitaunidabr1,,2,2,4,2,2,4,1,1,1,0,50,0,575,0.333333
Avnsl10,Avnsl10,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,576,0
mjdelfino,mjdelfino,,1,2,3,3,2,5,1,1,1,0,0,0,291,0.333333
revistaoeste,revistaoeste,,4,0,4,4,0,4,0,0,0,0,0,0,290,0.083333
HerminioCerq,HerminioCerq,,3,11,14,7,20,27,2,0.727273,0.8125,0,20,0,396,0.254545
levycorreia,levycorreia,,5,17,22,6,56,62,1,1,1,0.000002,20,0,396,0.108187
palmiralucas8,palmiralucas8,,3,0,3,5,0,5,0,0,0,0,20,0,393,1
IdeiasII,IdeiasII,,3,0,3,9,0,9,0,0,0,0,20,0,395,1
saogama,saogama,,3,0,3,9,0,9,0,0,0,0,20,0,394,1
marialves53,marialves53,,3,0,3,8,0,8,0,0,0,0,20,0,392,1
NatliaPinto2,NatliaPinto2,,3,10,13,9,10,19,2,0.695652,0.78125,0,20,0,396,0.288889
lepetitportcord,lepetitportcord,,3,0,3,8,0,8,0,0,0,0,20,0,391,1
buk3http,buk3http,,3,0,3,7,0,7,0,0,0,0,20,0,390,1
FatimaAntero,FatimaAntero,,2,0,2,6,0,6,0,0,0,0,20,0,389,1
JFSalvandoTodos,JFSalvandoTodos,,0,3,3,0,6,6,2,0.615385,0.6875,0,10,0,577,0
barbarabruzzo,barbarabruzzo,,0,1,1,0,2,2,2,0.545455,0.583333,0,10,0,578,0
IamMarianitta,IamMarianitta,,0,3,3,0,54,54,2,0.666667,0.75,0,10,0,579,0.333333
RodP13,RodP13,,6,11,17,32,124,156,3,0.530612,0.583333,0.000001,27,0,99,0.302198
altinocorreia,altinocorreia,,0,2,2,0,3,3,5,0.361111,0.451282,0,62,0,580,0
palavrastecidas,palavrastecidas,,0,1,1,0,1,1,1,1,1,0,21,14,582,0
RevistaFabra,RevistaFabra,,1,0,1,1,0,1,0,0,0,0,21,14,581,0
Beatrizfisiote1,Beatrizfisiote1,,0,3,3,0,4,4,2,0.615385,0.6875,0,10,0,583,0.333333
AlexandreMHP,AlexandreMHP,,0,2,2,0,10,10,2,0.75,0.833333,0,8,0,584,0.5
SNS_Portugal,SNS_Portugal,,38,0,38,77,0,77,0,0,0,0,8,0,81,0.00569
ReginaC60159030,ReginaC60159030,,0,1,1,0,1,1,1,1,1,0,4,0,585,0
blackca65880998,blackca65880998,,0,2,2,0,2,2,1,1,1,0,76,0,586,1
canalsmais,canalsmais,,1,9,10,5,10,15,1,1,1,0.000001,31,0,278,0
EU_Commission,EU_Commission,,2,0,2,2,0,2,0,0,0,0,31,0,277,0
Jorgete54,Jorgete54,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,587,0
guarulhosonline,guarulhosonline,,3,0,3,10,0,10,0,0,0,0,0,0,289,0
DilmaResiste,DilmaResiste,,0,1,1,0,1,1,1,1,1,0,55,0,588,0
flavianunciacao,flavianunciacao,,0,2,2,0,2,2,1,1,1,0,76,0,589,1
KalyLuna2,KalyLuna2,,0,5,5,0,13,13,2,0.647059,0.727273,0,62,0,590,0.15
alex_guerreiro_,alex_guerreiro_,,0,1,1,0,1,1,2,0.6,0.666667,0,8,0,591,0
cearanews7,cearanews7,,1,0,1,1,0,1,0,0,0,0,0,0,288,0
Paulo33600279,Paulo33600279,,0,5,5,0,12,12,2,0.777778,0.857143,0,10,0,592,0.25
yaneerbaryam,yaneerbaryam,,2,0,2,2,0,2,0,0,0,0,10,0,12,0.5
MiguelNicolelis,MiguelNicolelis,,36,2,38,342,3,345,2,0.625,0.7,0.000001,27,0,13,0.078078
Adla45254610,Adla45254610,,0,1,1,0,9,9,1,1,1,0,22,15,594,0
MEZIANE_EMM,MEZIANE_EMM,,2,0,2,12,0,12,0,0,0,0,22,15,593,0
Aaleono1Aaleono,Aaleono1Aaleono,,0,1,1,0,1,1,1,1,1,0,41,0,596,0
socioambiental,socioambiental,,32,0,32,33,0,33,0,0,0,0,41,0,595,0
acg747,acg747,,0,13,13,0,34,34,4,0.517857,0.58908,0,10,0,598,0.089744
Kli_Nev,Kli_Nev,,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,599,0.5
rogoncaetano,rogoncaetano,,0,6,6,0,6,6,1,1,1,0,45,0,603,0
fabiofaria,fabiofaria,,1,0,1,1,0,1,0,0,0,0,45,0,602,0
rogeriosmarinho,rogeriosmarinho,,1,0,1,1,0,1,0,0,0,0,45,0,601,0
folha,folha,,3,0,3,3,0,3,0,0,0,0,45,0,600,0
SoFia55682262,SoFia55682262,,0,1,1,0,1,1,1,1,1,0,4,0,604,0
sergioalb,sergioalb,,0,1,1,0,1,1,1,1,1,0,4,0,605,0
JCadena65913654,JCadena65913654,,0,3,3,0,3,3,1,1,1,0,76,0,606,0.333333
psocialista,psocialista,,0,1,1,0,1,1,2,0.6,0.666667,0,8,0,607,0
health20Paris,health20Paris,,0,1,1,0,1,1,1,1,1,0,23,16,609,0
EricTopol,EricTopol,,1,0,1,1,0,1,0,0,0,0,23,16,608,0
Covid19DailyDta,Covid19DailyDta,,5,0,5,23,0,23,0,0,0,0,0,0,287,0
STF_oficial,STF_oficial,,3,0,3,3,0,3,0,0,0,0,45,0,36,0
Rangel_Lucia,Rangel_Lucia,,0,3,3,0,10,10,2,0.615385,0.6875,0,10,0,610,0
RNPBRASIL,RNPBRASIL,,2,5,7,3,5,8,2,0.619048,0.692308,0.000001,76,0,568,0.142857
Apolo174,Apolo174,,0,3,3,0,3,3,1,1,1,0,27,0,613,0
marcelvanhattem,marcelvanhattem,,1,0,1,1,0,1,0,0,0,0,27,0,612,0
Felnandis24,Felnandis24,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,614,0
brabul,brabul,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,615,0
mss_silveira,mss_silveira,,0,1,1,0,1,1,1,1,1,0,4,0,616,0
liliartes,liliartes,,0,4,4,0,4,4,2,0.642857,0.722222,0,88,0,617,0.166667
siteenfoco,siteenfoco,,1,1,2,1,1,2,0,0,0,0,24,17,618,0
StarsGleaming,StarsGleaming,,3,0,3,6,0,6,0,0,0,0,0,0,286,0
mamjchema,mamjchema,,0,1,1,0,2,2,1,1,1,0,0,0,619,0
robertosimon,robertosimon,,1,0,1,1,0,1,0,0,0,0,27,0,611,0
TaschnerNatalia,TaschnerNatalia,,4,0,4,15,0,15,0,0,0,0,27,0,90,0.083333
AtalaiaBRx,AtalaiaBRx,,0,1,1,0,2,2,1,1,1,0,4,0,620,0
SargentoGarcia,SargentoGarcia,,0,3,3,0,6,6,1,1,1,0,76,0,621,0.333333
netbgomes,netbgomes,,0,1,1,0,3,3,1,1,1,0,8,0,622,0
Anabeaw1,Anabeaw1,,0,1,1,0,2,2,2,0.571429,0.625,0,5,0,623,0
lavinyatagarro_,lavinyatagarro_,,0,2,2,0,20,20,2,0.555556,0.6,0,10,0,624,0
JsLobo_,JsLobo_,,0,1,1,0,1,1,1,1,1,0,25,0,626,0
PlenoNews,PlenoNews,,13,0,13,14,0,14,0,0,0,0,25,0,625,0
emilia_goulart,emilia_goulart,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,627,0
Icict_Fiocruz,Icict_Fiocruz,,0,3,3,0,11,11,1,1,1,0,76,0,628,0.666667
CanalSaude,CanalSaude,,4,2,6,12,2,14,1,1,1,0,76,0,283,0.2
minions_adriana,minions_adriana,,0,2,2,0,3,3,1,1,1,0,25,0,629,0
bounceimaging,bounceimaging,,2,2,4,2,2,4,1,1,1,0,26,18,630,1
LCGBrands,LCGBrands,,1,1,2,1,1,2,1,1,1,0,26,18,630,0
fiocruzbrasilia,fiocruzbrasilia,,1,2,3,1,3,4,1,1,1,0,76,0,502,0.5
DirOPSPAHO,DirOPSPAHO,,6,0,6,8,0,8,0,0,0,0,5,0,133,0.166667
SaudeGovRS,SaudeGovRS,,9,0,9,19,0,19,0,0,0,0,0,0,284,0
denio_vale,denio_vale,,41,41,82,256,1002,1258,3,0.787879,0.878205,0.000079,27,0,99,0.044429
adaopaiani,adaopaiani,,24,0,24,294,0,294,0,0,0,0,27,0,72,0.103261
nicolaskasprzak,nicolaskasprzak,,24,18,42,294,268,562,3,0.571429,0.650641,0.000013,27,0,99,0.121622
anesalete,anesalete,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,631,0
Nezeli_Fagundes,Nezeli_Fagundes,,0,3,3,0,3,3,2,0.578947,0.636364,0,62,0,632,0
zeigor00,zeigor00,,0,2,2,0,2,2,1,1,1,0,76,0,633,1
